Date	Dateno	Ottawa	Tor W	Tor E	Windsor	London	Sudbury	SS Marie	Thdr Bay	Nrth Bay	Timmins	ON Avg	S. Avg	N. Avg	N/S Diff.	
Jan	Jan-14	124.4	126	125.9	122.8	123.2	132.9	133.9	130.7	126.8	138.7	126	125.2	132.1	-6.9	
Feb	Feb-14	129	130.4	130.2	125.9	128	132.6	134	131.1	124.9	138.8	129.8	129.6	131.9	-2.4	
Mar	Mar-14	129.3	130.8	130.5	126.7	128.4	132.5	134.4	137.2	129.5	143.2	130.5	129.9	134.8	-4.8	
Apr	Apr-14	135	136.9	136.3	132	134.4	133.4	137.2	145.2	127.7	142.7	136.1	135.8	138	-2.2	
May	May-14	134.1	136.1	135.1	133	134.3	139.2	140.8	143	136.6	144.3	135.7	135	140.7	-5.7	
Jun	Jun-14	137.1	140.3	139.4	137.3	138.2	143.8	143.9	145.3	137.9	144.3	139.5	139	143.5	-4.6	
Jul	Jul-14	132.3	135.8	135	131	134.2	141.9	141.8	143.6	138.6	144.4	135.3	134.4	142.2	-7.8	
Aug	Aug-14	127.3	132.3	131.3	129.8	130	136	139.9	141	132.9	141.7	131.5	130.6	138.3	-7.7	
Sep	Sep-14	126.3	130.8	129.7	126.8	128.5	135.1	139.3	138.9	129.4	139.4	129.9	129.1	136.6	-7.5	
Oct	Oct-14	117.5	121.1	119.9	116.3	118.5	128.7	131.7	134.1	124.5	131.5	120.7	119.5	130.5	-11.1	
Nov	Nov-14	110.6	116.3	115.4	111.9	111.7	120.7	125	126.7	119.9	124	115.2	114.1	123.4	-9.2	
Dec	Dec-14	96.7	103.5	102.3	98.4	98.1	104.7	112	112.9	105.8	110.3	101.8	100.9	109	-8.1	
Jan	Jan-13	120.4	122.4	122.5	119.3	119.6	125	126.1	124.6	124.2	131.9	122	121.6	125.6	-4	
Feb	Feb-13	128.1	130.4	130.4	125.6	127.5	135	133.4	128.2	132.4	137.3	129.7	129.4	132.6	-3.2	
Mar	Mar-13	127	129.6	129.7	126.8	125.6	133.9	136.9	134.6	130.4	139.9	129.3	128.6	134.7	-6.1	
Apr	Apr-13	121.6	124.3	124.4	118.8	120.3	128	134.2	134.6	122.7	136.7	124	123.1	131.1	-8	
May	May-13	123.1	125.9	125.7	116.8	121.3	128.1	127.2	136.6	119.8	133	125	124.3	129.9	-5.5	
Jun	Jun-13	126.4	127.1	127.2	122.8	122.7	128.6	132.9	140.5	122.5	133.9	127.1	126.4	132.6	-6.2	
Jul	Jul-13	129.6	130.7	130.3	127.4	128.3	133.3	132.7	138.3	129.8	137	130.5	129.9	134.6	-4.7	
